class	description	inherits	inherits.2	inherits.3	inherits.4	inherits.5
Zoo	A zoo.	CivicStructure	Place	Thing	NA	NA
WriteAction	The act of authoring written creative content.	CreateAction	Action	Thing	NA	NA
Winery	A winery.	FoodEstablishment	LocalBusiness	Place	Thing	NA
Winery	A winery.	FoodEstablishment	LocalBusiness	Organization	Thing	NA
WinAction	The act of achieving victory in a competitive activity.	AchieveAction	Action	Thing	NA	NA
WholesaleStore	A wholesale store.	Store	LocalBusiness	Place	Thing	NA
WholesaleStore	A wholesale store.	Store	LocalBusiness	Organization	Thing	NA
WebSite	A WebSite is a set of related web pages and other items typically served from a single web domain and accessible via URLs.	CreativeWork	Thing	NA	NA	NA
WebPageElement	A web page element, like a table or an image.	CreativeWork	Thing	NA	NA	NA
WebPage	A web page. Every web page is implicitly assumed to be declared to be of type WebPage, so the various properties about that webpage, such as <code>breadcrumb</code> may be used. We recommend explicit declaration if these properties are specified, but if they are found outside of an itemscope, they will be assumed to be about the page.	CreativeWork	Thing	NA	NA	NA
WebApplication	Web applications.	SoftwareApplication	CreativeWork	Thing	NA	NA
WearAction	The act of dressing oneself in clothing.	UseAction	ConsumeAction	Action	Thing	NA
Waterfall	A waterfall, like Niagara.	BodyOfWater	Landform	Place	Thing	NA
WatchAction	The act of consuming dynamic/moving visual content.	ConsumeAction	Action	Thing	NA	NA
WarrantyScope	"A range of of services that will be provided to a customer free of charge in case of a defect or malfunction of a product.\n\nCommonly used values:\n\n* http://purl.org/goodrelations/v1#Labor-BringIn\n* http://purl.org/goodrelations/v1#PartsAndLabor-BringIn\n* http://purl.org/goodrelations/v1#PartsAndLabor-PickUp
"	Enumeration	Intangible	Thing	NA	NA
WarrantyPromise	A structured value representing the duration and scope of services that will be provided to a customer free of charge in case of a defect or malfunction of a product.	StructuredValue	Intangible	Thing	NA	NA
WantAction	The act of expressing a desire about the object. An agent wants an object.	ReactAction	AssessAction	Action	Thing	NA
WPSideBar	A sidebar section of the page.	WebPageElement	CreativeWork	Thing	NA	NA
WPHeader	The header section of the page.	WebPageElement	CreativeWork	Thing	NA	NA
WPFooter	The footer section of the page.	WebPageElement	CreativeWork	Thing	NA	NA
WPAdBlock	An advertising section of the page.	WebPageElement	CreativeWork	Thing	NA	NA
VoteAction	The act of expressing a preference from a fixed/finite/structured set of choices/options.	ChooseAction	AssessAction	Action	Thing	NA
Volcano	A volcano, like Fuji san.	Landform	Place	Thing	NA	NA
VisualArtwork	A work of art that is primarily visual in character.	CreativeWork	Thing	NA	NA	NA
VisualArtsEvent	Event type: Visual arts event.	Event	Thing	NA	NA	NA
ViewAction	The act of consuming static visual content.	ConsumeAction	Action	Thing	NA	NA
VideoObject	A video file.	MediaObject	CreativeWork	Thing	NA	NA
VideoGameSeries	A video game series.	CreativeWorkSeries	Series	Intangible	Thing	NA
VideoGameSeries	A video game series.	CreativeWorkSeries	CreativeWork	Thing	NA	NA
VideoGameClip	A short segment/part of a video game.	Clip	CreativeWork	Thing	NA	NA
VideoGame	A video game is an electronic game that involves human interaction with a user interface to generate visual feedback on a video device.	SoftwareApplication	CreativeWork	Thing	NA	NA
