class	property	type	description	accepted_types
HowTo	yield	Text	The quantity that results by performing instructions. For example, a paper airplane, 10 personalized candles.	Text or QuantitativeValue
HowTo	yield	QuantitativeValue	The quantity that results by performing instructions. For example, a paper airplane, 10 personalized candles.	Text or QuantitativeValue
BusinessAudience	yearsInOperation	QuantitativeValue	The age of the business.	QuantitativeValue
BusinessAudience	yearlyRevenue	QuantitativeValue	The size of the business in annual revenue.	QuantitativeValue
Rating	worstRating	Text	The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.	Text or Number
Rating	worstRating	Number	The lowest value allowed in this rating system. If worstRating is omitted, 1 is assumed.	Text or Number
Person	worksFor	Organization	Organizations that the person works for.	Organization
ScreeningEvent	workPresented	Movie	The movie presented during this event.	Movie
Event	workPerformed	CreativeWork	A work performed in some event, for example a play performed in a TheaterEvent.	CreativeWork
Person	workLocation	Place	A contact location for a person's place of work.	Place or ContactPoint
Person	workLocation	ContactPoint	A contact location for a person's place of work.	Place or ContactPoint
JobPosting	workHours	Text	The typical working hours for this job (e.g. 1st shift, night shift, 8am-5pm).	Text
Event	workFeatured	CreativeWork	"A work featured in some event, e.g. exhibited in an ExhibitionEvent.
       Specific subproperties are available for workPerformed (e.g. a play), or a workPresented (a Movie at a ScreeningEvent)."	CreativeWork
CreativeWork	workExample	CreativeWork	Example/instance/realization/derivation of the concept of this creative work. eg. The paperback edition, first edition, or eBook.	CreativeWork
Article	wordCount	Integer	The number of words in the text of the Article.	Integer
LoseAction	winner	Person	A sub property of participant. The winner of the action.	Person
VisualArtwork	width	QuantitativeValue	The width of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
VisualArtwork	width	Distance	The width of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Product	width	QuantitativeValue	The width of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Product	width	Distance	The width of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
MediaObject	width	QuantitativeValue	The width of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
MediaObject	width	Distance	The width of the item.	QuantitativeValue or Distance or QuantitativeValue or Distance or QuantitativeValue or Distance
Product	weight	QuantitativeValue	The weight of the product or person.	QuantitativeValue or QuantitativeValue
Person	weight	QuantitativeValue	The weight of the product or person.	QuantitativeValue or QuantitativeValue
Flight	webCheckinTime	DateTime	The time when a passenger can check into the flight online.	DateTime
WarrantyPromise	warrantyScope	WarrantyScope	The scope of the warranty promise.	WarrantyScope
SellAction	warrantyPromise	WarrantyPromise	The warranty promise(s) included in the offer.	WarrantyPromise or WarrantyPromise
BuyAction	warrantyPromise	WarrantyPromise	The warranty promise(s) included in the offer.	WarrantyPromise or WarrantyPromise
Offer	warranty	WarrantyPromise	The warranty promise(s) included in the offer.	WarrantyPromise or WarrantyPromise
Demand	warranty	WarrantyPromise	The warranty promise(s) included in the offer.	WarrantyPromise or WarrantyPromise
PublicationVolume	volumeNumber	Text	"Identifies the volume of publication or multi-part work; for example, ""iii"" or ""2""."	Text or Integer
PublicationVolume	volumeNumber	Integer	"Identifies the volume of publication or multi-part work; for example, ""iii"" or ""2""."	Text or Integer
VideoObject	videoQuality	Text	The quality of the video.	Text
VideoObject	videoFrameSize	Text	The frame size of the video.	Text
ScreeningEvent	videoFormat	Text	The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).	Text or Text or Text
BroadcastService	videoFormat	Text	The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).	Text or Text or Text
BroadcastEvent	videoFormat	Text	The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).	Text or Text or Text
CreativeWork	video	VideoObject	An embedded video object.	VideoObject
CreativeWork	version	Text	The version of the CreativeWork embodied by a specified resource.	Text or Number
CreativeWork	version	Number	The version of the CreativeWork embodied by a specified resource.	Text or Number
BuyAction	vendor	Person	'vendor' is an earlier term for 'seller'.	Person or Organization
BuyAction	vendor	Organization	'vendor' is an earlier term for 'seller'.	Person or Organization
Vehicle	vehicleTransmission	URL	"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars)."	URL or Text or QualitativeValue
Vehicle	vehicleTransmission	Text	"The type of component used for transmitting the power from a rotating power source to the wheels or other relevant component(s) (""gearbox"" for cars)."	URL or Text or QualitativeValue
